subj,object,cond,firstfix,rt,regrab,nfix,totfix
1,thread,C,366.667,366.667,-,0,0.0
1,cards,E,1066.667,18700.0,G,6,2333.333
1,tape,C,5400.0,5400.0,-,2,600.0
1,clip,E,83.333,1533.333,-,1,200.0
1,glasses,C,3266.667,3266.667,-,0,0.0
1,brush,E,3866.667,3866.667,R,3,983.333
1,smcandle,C,1300.0,2266.667,-,1,233.333
1,lgmscup,E,1416.667,2300.0,-,0,0.0
1,blkpen,C,866.667,2100.0,-,1,266.667
1,no1candle,E,1900.0,3733.333,-,0,0.0
2,thread,E,1716.667,3366.667,-,1,433.333
2,cards,C,1066.667,3300.0,-,0,0.0
2,tape,E,3033.333,3033.333,-,1,533.333
2,clip,C,200.0,2233.333,-,1,333.333
2,glasses,E,1900.0,1900.0,-,2,483.333
2,brush,C,1166.667,1866.667,-,0,0.0
2,smcandle,E,766.667,766.667,-,0,0.0
2,lgmscup,C,666.667,3e3,-,0,0.0
2,blkpen,E,1100.0,1100.0,-,1,616.667
2,no1candle,C,2166.667,2166.667,-,0,0.0
4,blkpen,E,2216.667,8666.667,R,2,700.0
4,lgmscup,C,1433.333,1433.333,-,0,0.0
4,glasses,E,0.0,3700.0,-,1,433.333
4,brush,C,1e3,1e3,-,0,0.0
4,thread,E,933.333,1966.667,-,1,350.0
4,cards,C,2566.667,2566.667,-,0,0.0
4,tape,E,4450.0,14100.0,-,3,1583.333
4,clip,C,1883.333,2633.333,-,0,0.0
4,smcandle,E,2133.333,2133.333,-,1,666.667
4,no1candle,C,1166.667,1166.667,-,0,0.0
5,glasses,C,3133.333,3133.333,-,0,0.0
5,cards,E,2133.333,2133.333,R,1,783.333
5,thread,C,1500.0,1500.0,-,0,0.0
5,clip,E,1e3,1e3,-,1,616.667
5,smcandle,C,600.0,900.0,-,0,0.0
5,no1candle,E,3133.333,3133.333,-,0,0.0
5,blkpen,C,1133.333,1133.333,-,0,0.0
5,brush,E,1683.333,3833.333,-,0,0.0
5,tape,C,333.333,333.333,-,0,0.0
5,lgmscup,E,6016.667,17100.0,G,0,0.0
6,glasses,E,8166.667,8166.667,-,1,483.333
6,cards,C,833.333,833.333,-,0,0.0
6,thread,E,916.667,3266.667,-,0,0.0
6,clip,C,1616.667,3866.667,-,0,0.0
6,smcandle,E,3133.333,3133.333,-,1,316.667
6,no1candle,C,3066.667,3066.667,-,0,0.0
6,blkpen,E,2750.0,3433.333,-,1,1100.0
6,brush,C,3366.667,3366.667,-,0,0.0
6,tape,E,2483.333,4100.0,-,1,516.667
6,lgmscup,C,1233.333,3133.333,-,0,0.0
7,smcandle,C,1100.0,1100.0,-,0,0.0
7,clip,E,1233.333,3900.0,-,1,583.333
7,glasses,C,0.0,1933.333,-,0,0.0
7,no1candle,E,2200.0,2633.333,-,0,0.0
7,thread,C,1300.0,1300.0,-,0,0.0
7,lgmscup,E,1900.0,1900.0,-,0,0.0
7,blkpen,C,1133.333,2100.0,-,1,350.0
7,brush,E,0.0,400.0,-,0,0.0
7,tape,C,1233.333,1233.333,-,0,0.0
7,cards,E,916.667,2566.667,-,2,450.0
8,smcandle,E,3066.667,4466.667,-,0,0.0
8,clip,C,800.0,3133.333,-,1,633.333
8,glasses,E,450.0,1400.0,-,1,250.0
8,no1candle,C,NA,NA,NA,NA,NA
8,thread,E,733.333,1166.667,-,0,0.0
8,lgmscup,C,1016.667,3600.0,-,0,0.0
8,blkpen,E,866.667,866.667,-,0,0.0
8,brush,C,2066.667,2066.667,-,1,116.667
8,tape,E,4966.667,4966.667,-,2,700.0
8,cards,C,500.0,3266.667,-,0,0.0
10,smcandle,E,2966.667,2966.667,-,1,400.0
10,clip,C,950.0,3733.333,-,0,0.0
10,tape,E,17300.0,17300.0,G,3,5933.333
10,lgmscup,C,450.0,2466.667,-,0,0.0
10,blkpen,E,2800.0,2800.0,R,2,1350.0
10,brush,C,650.0,2066.667,-,0,0.0
10,glasses,E,9466.667,9466.667,G,1,500.0
10,no1candle,C,433.333,433.333,-,0,0.0
10,thread,E,1300.0,1300.0,-,0,0.0
10,cards,C,1100.0,1100.0,-,0,0.0
11,smcandle,C,NA,NA,NA,NA,NA
11,lgmscup,E,4033.333,4033.333,-,1,833.333
11,glasses,C,800.0,800.0,-,0,0.0
11,cards,E,1466.667,1466.667,-,0,0.0
11,tape,C,3033.333,3033.333,-,0,0.0
11,no1candle,E,3066.667,3066.667,-,0,0.0
11,blkpen,C,1533.333,1533.333,-,0,0.0
11,clip,E,0.0,500.0,-,0,0.0
11,thread,C,4200.0,4200.0,-,0,0.0
11,brush,E,1700.0,1700.0,-,0,0.0
15,lgmscup,E,733.333,7866.667,-,1,166.667
15,blkpen,C,1016.667,3166.667,-,0,0.0
15,cards,E,5300.0,5300.0,R,2,2900.0
15,clip,E,933.333,9566.667,-,2,1666.667
15,tape,C,2433.333,2433.333,-,0,0.0
15,no1candle,E,1183.333,2866.667,-,1,333.333
15,thread,C,366.667,366.667,-,0,0.0
15,glasses,C,4600.0,4600.0,-,1,116.667
15,brush,E,3200.0,3200.0,-,2,366.667
15,smcandle,C,700.0,700.0,-,0,0.0
16,lgmscup,C,NA,NA,NA,NA,NA
16,blkpen,E,866.667,3200.0,-,2,350.0
16,cards,C,2200.0,2200.0,-,0,0.0
16,clip,C,3700.0,3700.0,-,0,0.0
16,tape,E,3033.333,3033.333,-,1,750.0
16,no1candle,C,1600.0,1600.0,-,0,0.0
16,thread,E,3600.0,5e3,-,2,833.333
16,glasses,E,366.667,16700.0,G,0,0.0
16,brush,C,2766.667,3233.333,-,0,0.0
16,smcandle,E,4266.667,4266.667,-,0,0.0
17,thread,C,433.333,2200.0,-,0,0.0
17,cards,E,1350.0,5900.0,-,1,683.333
17,smcandle,C,3466.667,4466.667,-,0,0.0
17,lgmscup,E,350.0,4666.667,-,0,0.0
17,tape,C,7400.0,7400.0,-,1,350.0
17,clip,E,16.667,2333.333,-,1,366.667
17,blkpen,C,1250.0,2e3,-,0,0.0
17,no1candle,E,1966.667,1966.667,-,0,0.0
17,glasses,C,50.0,2766.667,-,0,0.0
17,brush,E,2433.333,2866.667,-,1,466.667
18,thread,E,283.333,4100.0,-,2,966.667
18,cards,C,1766.667,1766.667,-,0,0.0
18,smcandle,E,700.0,4133.333,-,0,0.0
18,lgmscup,C,1333.333,2466.667,-,0,0.0
18,tape,E,12266.667,12266.667,G,1,466.667
18,clip,C,0.0,2966.667,-,1,600.0
